dataset_id,age,richness
1766,10000,22
17672,2000,13
17672,3000,16
17672,4000,15
17672,5000,18
17672,6000,14
17672,7000,10
17672,10000,20
1768,1000,25
1768,2000,21
1768,3000,28
1768,4000,26
1768,5000,25
1768,6000,23
1768,7000,22
1768,8000,24
1768,10000,21
17689,2000,22
17689,3000,25
17689,4000,22
17689,5000,26
17689,6000,16
17689,7000,22
17689,8000,22
17689,10000,26
1769,1000,9
1769,2000,19
1769,3000,24
1769,10000,9
1773,1000,22
1773,3000,18
1773,4000,22
1773,6000,22
1773,7000,23
1773,8000,17
1773,9000,19
1773,11000,24
1773,12000,18
1780,1000,7
1780,2000,13
1780,10000,9
1782,1000,17
1782,2000,21
1782,3000,29
1782,4000,24
1782,5000,23
1782,6000,25
1782,8000,22
1782,9000,29
1782,10000,25
1782,11000,24
1786,1000,22
1786,2000,20
1786,3000,18
1786,4000,19
1786,5000,15
1786,6000,16
1786,10000,20
1788,2000,11
17880,1000,28
17880,2000,21
17880,3000,19
17880,4000,21
17880,5000,16
17880,6000,20
17880,7000,20
17880,8000,25
17880,9000,21
17880,10000,25
17880,11000,23
17880,12000,32
17945,1000,9
17945,2000,6
17945,3000,8
17945,4000,10
17945,5000,8
17945,6000,8
17945,10000,12
1806,2000,15
1806,3000,8
1806,4000,16
1806,5000,11
1806,6000,11
1806,7000,11
1806,8000,10
1806,9000,11
1806,10000,11
1806,11000,9
1806,12000,10
18108,1000,10
18108,10000,11
18110,1000,27
18110,10000,26
1814,1000,31
1814,2000,13
1814,3000,15
1814,5000,15
1814,10000,25
1814,11000,16
1817,1000,25
1817,2000,20
1817,3000,22
1817,4000,22
1817,5000,22
1817,6000,24
1817,7000,26
1817,10000,17
1820,2000,22
1820,3000,18
1820,10000,21
1824,1000,25
1824,2000,21
1824,3000,23
1824,5000,22
1824,6000,24
1824,7000,23
1824,8000,21
1824,9000,24
1824,10000,24
1824,11000,20
1854,1000,14
1854,3000,15
1854,5000,18
1854,10000,13
1856,2000,16
1856,3000,13
1856,4000,19
1856,5000,17
1856,10000,14
1882,1000,10
1882,2000,12
1882,3000,11
1882,4000,11
1882,5000,15
1882,6000,13
1882,7000,11
1882,8000,12
1882,11000,11
1882,12000,10
1890,1000,14
1890,10000,11
1897,1000,20
1897,3000,16
1897,4000,18
1897,5000,23
1897,6000,21
1897,10000,16
1906,1000,11
1906,2000,11
1906,3000,10
1906,4000,11
1906,5000,10
1906,6000,13
1906,7000,10
1906,8000,9
1906,9000,9
1906,10000,10
1906,11000,9
1906,12000,8
19266,1000,13
19266,5000,17
19266,6000,23
19266,7000,20
19266,8000,25
19323,1000,12
19323,10000,10
1961,1000,25
1961,2000,18
1961,3000,21
1961,4000,19
1961,5000,12
1961,6000,18
1961,7000,15
1961,9000,17
1961,10000,20
1961,11000,16
19620,2000,17
19620,3000,15
19620,4000,17
19620,5000,17
19620,6000,24
19620,7000,24
19620,8000,19
19620,9000,22
19620,10000,17
19620,11000,17
19620,12000,21
1970,1000,22
1970,10000,23
1974,1000,33
1974,2000,24
1974,4000,28
1974,5000,25
1974,6000,26
1974,7000,31
1974,8000,32
1974,9000,38
1974,12000,22
1981,1000,18
1981,2000,18
1981,3000,14
1981,4000,9
1981,5000,14
1981,6000,11
1981,10000,18
19814,1000,10
19814,2000,10
19814,3000,14
19814,5000,12
19814,7000,9
19814,10000,10
19814,11000,14
19814,12000,16
19820,1000,12
19820,2000,16
19820,3000,21
19820,4000,18
19820,5000,16
19820,6000,16
