neotoma_names,is_plant
Persicaria,TRUE
Primula,TRUE
Prunus spinosa,TRUE
Anthyllis vulneraria,TRUE
Chelidonium,TRUE
Ephedra distachya-type,TRUE
Erica tetralix-type,TRUE
Erodium,TRUE
Micranthes stellaris-type,TRUE
Mimulus,TRUE
Montia fontana,TRUE
Ononis,TRUE
Pinguicula,TRUE
Plantago coronopus-type,TRUE
Plantago major/P. media-type,TRUE
Plantago maritima-type,TRUE
Poterium sanguisorba,TRUE
Saxifraga hypnoides-type,TRUE
Scutellaria,TRUE
Silene dioica-type,TRUE
Silene flos-cuculi,TRUE
Stellaria holostea,TRUE
Valeriana officinalis-type,TRUE
Acacia,TRUE
Adenostyles,TRUE
Calceolaria,TRUE
Carex,TRUE
Cicuta virosa,TRUE
Coronilla,TRUE
Dalechampia,TRUE
Gladiolus,TRUE
Glaucium,TRUE
Helianthus,TRUE
Ligustrum vulgare,TRUE
Lilium martagon,TRUE
Limosella,TRUE
Luzula,TRUE
Portulaca oleracea-type,TRUE
Primula vulgaris,TRUE
Rhododendron,TRUE
Silene dioica,TRUE
Viburnum opulus,TRUE
Zea,TRUE
Acer campestre-type,TRUE
Apiaceae undiff.,TRUE
Campanulaceae undiff.,TRUE
Castanea sativa,TRUE
Centaurea jacea-type,TRUE
Convolvulus arvensis,TRUE
Cyperaceae undiff.,TRUE
Fallopia convolvulus-type,TRUE
Gypsophila,TRUE
Lysimachia,TRUE
Mercurialis perennis,TRUE
Ranunculus acris-type,TRUE
Scleranthus perennis,TRUE
Scrophulariaceae undiff.,TRUE
Solanum dulcamara,TRUE
Viscum album,TRUE
Adoxa moschatellina,TRUE
Anemone nemorosa-type,TRUE
Arctostaphylos uva-ursi,TRUE
Astragalus alpinus,TRUE
Astragalus cf. A. glycyphyllos,TRUE
Cornus suecica,TRUE
Humulus lupulus,TRUE
Hypericum perforatum,TRUE
Juniperus communis,TRUE
Papaver rhoeas-type,TRUE
Potentilla recta,TRUE
Prunus padus,TRUE
Ranunculus undiff.,TRUE
Rhododendron tomentosum,TRUE
Sorbus aucuparia,TRUE
Stachys sylvatica-type,TRUE
Trientalis europaea,TRUE
Trientalis europaea,TRUE
Gentianella campestris-type,TRUE
Silene vulgaris-type,TRUE
Valeriana officinalis,TRUE
Rumex subg. Rumex,TRUE
Trientalis,TRUE
Achillea,TRUE
Alchemilla,TRUE
Arctous alpina,TRUE
Arenaria,TRUE
Artemisia norvegica,TRUE
Astragalus frigidus,TRUE
Bistorta,TRUE
Convallaria,TRUE
Ephedra distachya,TRUE
Ephedra fragilis,TRUE
Euphrasia,TRUE
Gentiana campestris,TRUE
Gentiana campestris,TRUE
Gentiana campestris,TRUE
Gentiana nivalis,TRUE
Geum,TRUE
Micranthes stellaris,TRUE
Myricaria,TRUE
Parnassia,TRUE
Ranunculus sp.,TRUE
Rubus sp.,TRUE
Rumex longifolius,TRUE
Sagina,TRUE
Salix herbacea,TRUE
Saxifraga hirculus,TRUE
Sibbaldia,TRUE
Silene acaulis,TRUE
Tofieldia,TRUE
Verbascum,TRUE
Veronica,TRUE
Astragalus cf. A. alpinus,TRUE
Geranium sylvaticum-type,TRUE
Rumex acetosa/R. acetosella-type,TRUE
Rumex acetosella-type,TRUE
Salix herbacea-type,TRUE
Salix undiff.,TRUE
Tofieldia pusilla,TRUE
Trollius europaeus,TRUE
Valeriana excelsa subsp. sambucifolia-type,TRUE
Cannabaceae undiff.,TRUE
Cerastium cerastoides-type,TRUE
Geranium sylvaticum,TRUE
Pedicularis palustris-type,TRUE
Silene acaulis-type,TRUE
Artemisia cf. A. norvegica,TRUE
Lobelia dortmanna,TRUE
Micranthes nivalis-type,TRUE
Populus tremula,TRUE
Rumex longifolius-type,TRUE
Saxifraga cespitosa-type,TRUE
Cerastium,TRUE
Ephedra distachya subsp. helvetica-type,TRUE
Ephedra fragilis-type,TRUE
Erica,TRUE
