taxon_name,level_1
begoniaceae,begoniaceae
belangera,belangera
berberidaceae,berberidaceae
berberis,berberis
bernardia_cf_b_pulchella,bernardia_cf_b_pulchella
bertiera,bertiera
betulaceae,betulaceae
bignonia,bignonia
bignonia_cf_b_neoheterophylla,bignonia_cf_b_neoheterophylla
bignonia_type,bignonia_type
bignoniaceae,bignoniaceae
bignoniaceae_undiff,bignoniaceae_undiff
billia,billia
bistorta_officinalis_type,bistorta_officinalis_type
blepharandra,blepharandra
blepharandra_byrsonima,blepharandra_byrsonima
blepharodon,blepharodon
bocconia,bocconia
bocconia_type,bocconia_type
bocoa,bocoa
boehmeria,boehmeria
bolax,bolax
bomarea,bomarea
bomarea_type,bomarea_type
bombacoideae,bombacoideae
bombacoideae_undiff,bombacoideae_undiff
bombacopsis,bombacopsis
bombacopsis_type,bombacopsis_type
bombax_type_2,bombax_type_2
bombax_undiff,bombax_undiff
bonamia,bonamia
bonnetia,bonnetia
boraginaceae,boraginaceae
boraginaceae_type_1,boraginaceae_type_1
boraginaceae_undiff,boraginaceae_undiff
boraginales_cf_cordia,boraginales_cf_cordia
borismene,borismene
bowdichia,bowdichia
brassica,brassica
brassica_type_1,brassica_type_1
brassicaceae,brassicaceae
brassicaceae_27_mu_m,brassicaceae_27_mu_m
brassicaceae_undiff,brassicaceae_undiff
bravaisia,bravaisia
bravaisia_berlandieriana,bravaisia_berlandieriana
brickellia,brickellia
bromelia,bromelia
bromeliaceae,bromeliaceae
bromeliaceae_cf_puya,bromeliaceae_cf_puya
bromeliaceae_type_1,bromeliaceae_type_1
bromeliaceae_type_2,bromeliaceae_type_2
bromeliaceae_undiff,bromeliaceae_undiff
brosimum,brosimum
brosimum_alicastrum,brosimum_alicastrum
brosimum_alicastrum_ssp_bolivarense,brosimum_alicastrum_ssp_bolivarense
browneopsis_ucayalina_smaller,browneopsis_ucayalina_smaller
brunellia,brunellia
brunellia_type,brunellia_type
buchnera,buchnera
buddleja,buddleja
buddleja_type,buddleja_type
bumelia,bumelia
bumelia_type,bumelia_type
bunchosia,bunchosia
bunchosia_type,bunchosia_type
burmannia,burmannia
bursera,bursera
bursera_simaruba,bursera_simaruba
bursera_type,bursera_type
burseraceae,burseraceae
burseraceae_cf_protium,burseraceae_cf_protium
burseraceae_undiff,burseraceae_undiff
buxaceae,buxaceae
buxus,buxus
buxus_bahamensis,buxus_bahamensis
byrsonima,byrsonima
byrsonima_lucida,byrsonima_lucida
byrsonima_type,byrsonima_type
byrsonima_type_1,byrsonima_type_1
byttneria,byttneria
byttneria_type,byttneria_type
cabralea,cabralea
cactaceae,cactaceae
cactaceae_type,cactaceae_type
caesalpinia,caesalpinia
caesalpinia_bahamensis,caesalpinia_bahamensis
caesalpinia_cenostigma,caesalpinia_cenostigma
caesalpinioideae,caesalpinioideae
caesalpinioideae_18_mu_m,caesalpinioideae_18_mu_m
caesalpinioideae_26_mu_m,caesalpinioideae_26_mu_m
caesalpinioideae_cf_senna,caesalpinioideae_cf_senna
caesalpinioideae_type_22,caesalpinioideae_type_22
caesalpinioideae_undiff,caesalpinioideae_undiff
cajanus_type,cajanus_type
calandrinia,calandrinia
calathea_type_1,calathea_type_1
calathea_type_2,calathea_type_2
calceolaria,calceolaria
calceolaria_type,calceolaria_type
calliandra,calliandra
calophyllum,calophyllum
calycera,calycera
calyceraceae,calyceraceae
calycobolus,calycobolus
calycolpus,calycolpus
calyptrocarya,calyptrocarya
campanula,campanula
campanulaceae,campanulaceae
campanulaceae_type,campanulaceae_type
campanulaceae_undiff,campanulaceae_undiff
campnosperma,campnosperma
campomanesia,campomanesia
canavalia_type,canavalia_type
canna,canna
