taxon_name,level_1
begonia_meyeri_minus_johannis,begonia_meyeri_minus_johannis
begonia_type,begonia_type
begoniaceae,begoniaceae
berberis,berberis
berkheya,berkheya
berlinia,berlinia
berlinia_type,berlinia_type
bersama,bersama
bersama_abyssinica,bersama_abyssinica
bersama_abyssinica_type,bersama_abyssinica_type
bertiera,bertiera
bertiera_type,bertiera_type
betula,betula
bidens,bidens
bignoniaceae,bignoniaceae
bismarckia_nobilis,bismarckia_nobilis
blepharis,blepharis
blepharis_type,blepharis_type
blepharispermum_type,blepharispermum_type
blighia,blighia
blighia_sapida_type,blighia_sapida_type
blighia_type,blighia_type
blighia_type_b_unijugata,blighia_type_b_unijugata
blighia_type_unijugata,blighia_type_unijugata
blighia_unijugata_type,blighia_unijugata_type
boerhavia_type,boerhavia_type
boerhavia_type_erecta,boerhavia_type_erecta
bombax,bombax
bombax_buonopozense_type,bombax_buonopozense_type
bombax_costatum_type,bombax_costatum_type
boraginaceae,boraginaceae
boraginaceae_type_1,boraginaceae_type_1
borassus,borassus
borassus_hyphaene,borassus_hyphaene
borassus_type,borassus_type
borassus_type_aethiopum,borassus_type_aethiopum
borassus_type_b_aethiopum,borassus_type_b_aethiopum
boscia_cadaba,boscia_cadaba
boscia_type,boscia_type
boscia_type_angustifolia,boscia_type_angustifolia
boscia_type_salicifolia,boscia_type_salicifolia
bosqueia,bosqueia
bosqueia_phoberos,bosqueia_phoberos
boswellia,boswellia
botryospermum,botryospermum
brachylaena,brachylaena
brachylaena_type,brachylaena_type
brachystegia,brachystegia
brachystephanus,brachystephanus
brassica,brassica
brassicaceae,brassicaceae
brassicaceae_olea,brassicaceae_olea
brassicaceae_undiff,brassicaceae_undiff
bridelia,bridelia
bridelia_ferruginea,bridelia_ferruginea
bridelia_ferruginea_type,bridelia_ferruginea_type
bridelia_micrantha,bridelia_micrantha
bridelia_micrantha_type,bridelia_micrantha_type
bridelia_scleroneura_type,bridelia_scleroneura_type
bridelia_type,bridelia_type
bridelia_type_b_scleroneura,bridelia_type_b_scleroneura
bridelia_type_scleroneura,bridelia_type_scleroneura
brillantaisia,brillantaisia
brucea,brucea
brucea_antidysenterica,brucea_antidysenterica
brucea_antidysenterica_type,brucea_antidysenterica_type
bruguiera,bruguiera
bruniaceae,bruniaceae
brunsvigia,brunsvigia
buchnera,buchnera
buchnera_type,buchnera_type
buddleja,buddleja
buddleja_type,buddleja_type
burchellia,burchellia
burkea,burkea
burkea_africana,burkea_africana
burseraceae,burseraceae
burseraceae_undiff,burseraceae_undiff
butyrospermum,butyrospermum
buxus,buxus
buxus_hildebrandtii_type,buxus_hildebrandtii_type
buxus_madagascarica,buxus_madagascarica
buxus_madagascarica_type,buxus_madagascarica_type
cadaba,cadaba
cadaba_type,cadaba_type
caesalpinia_haematoxylum,caesalpinia_haematoxylum
caesalpinia_type,caesalpinia_type
caesalpinioideae,caesalpinioideae
caesalpinioideae_undiff,caesalpinioideae_undiff
calamus_deerratus,calamus_deerratus
calligonum,calligonum
calligonum_polygonoides,calligonum_polygonoides
calluna,calluna
calpocalyx_type,calpocalyx_type
calpocalyx_type_c_letestui,calpocalyx_type_c_letestui
calpocalyx_type_klainei,calpocalyx_type_klainei
calpocalyx_type_letestui,calpocalyx_type_letestui
calpurnia_type,calpurnia_type
calycobolus,calycobolus
calystegia,calystegia
camellia_sinensis_type,camellia_sinensis_type
campanula,campanula
campanula_type,campanula_type
campanulaceae,campanulaceae
campanulaceae_undiff,campanulaceae_undiff
campylospermum,campylospermum
campylospermum_densiflorum,campylospermum_densiflorum
canarium,canarium
canarium_schweinfurthii,canarium_schweinfurthii
canarium_type,canarium_type
cannabis,cannabis
cannabis_type,cannabis_type
canthium,canthium
canthium_gueinzii_type,canthium_gueinzii_type
canthium_schimperianum,canthium_schimperianum
canthium_schimperianum_type,canthium_schimperianum_type
canthium_type,canthium_type
capparaceae,capparaceae
capparaceae_undiff,capparaceae_undiff
capparis,capparis
capparis_erythrocarpos,capparis_erythrocarpos
capparis_fascicularis_type,capparis_fascicularis_type
capparis_tomentosa,capparis_tomentosa
capparis_tomentosa_type,capparis_tomentosa_type
carapa,carapa
carapa_ekebergia,carapa_ekebergia
carapa_type_c_grandiflora,carapa_type_c_grandiflora
carapa_type_c_procera,carapa_type_c_procera
carapa_type_procera,carapa_type_procera
cardamine,cardamine
cardiospermum,cardiospermum
cardiospermum_halicacabum,cardiospermum_halicacabum
cardiospermum_halicacabum_type,cardiospermum_halicacabum_type
carduus,carduus
carduus_type,carduus_type
carissa,carissa
carissa_spinarum_type,carissa_spinarum_type
carissa_type,carissa_type
carissa_type_spinarum,carissa_type_spinarum
carpacoce,carpacoce
carpobrotus,carpobrotus
carthamus_type,carthamus_type
caryophyllaceae,caryophyllaceae
caryophyllaceae_large,caryophyllaceae_large
caryophyllaceae_periporate_excluding_paronychioideae,caryophyllaceae_periporate_excluding_paronychioideae
caryophyllaceae_undiff,caryophyllaceae_undiff
casearia,casearia
cassia,cassia
cassia_mimosoides_type,cassia_mimosoides_type
cassia_type,cassia_type
cassia_type_c_italica,cassia_type_c_italica
cassia_type_c_mimosoides,cassia_type_c_mimosoides
cassine,cassine
cassine_orientalis,cassine_orientalis
cassine_type,cassine_type
cassipourea,cassipourea
casuarina,casuarina
casuarina_type,casuarina_type
catha_type,catha_type
catha_type_c_edulis,catha_type_c_edulis
catunaregam_type,catunaregam_type
caucanthus_type,caucanthus_type
caylusea_type_29mu_m,caylusea_type_29mu_m
