Taxon_Name_Neotoma,Ondrej_ID,Taxon_ID,Higher_Taxon1_Neotoma,Higher_Taxon2_Neotoma,taxon_name,NsitesInNA,Notes,...9,...10
Waltheria,NA,5763,Malvaceae subf. Sterculioideae,Malvaceae,Waltheria,7,S FL,NA,NA
Waltheria indica,NA,9824,Waltheria,Malvaceae subf. Sterculioideae,Waltheria,1,S FL,NA,NA
Wyethia-type,1483,NA,NA,NA,Asteraceae subf. Asteroideae,1,NA,NA,NA
Xanthium,NA,322,Asteraceae subtribe Ambrosiinae,Asteraceae tribe Heliantheae,Xanthium,299,NA,NA,NA
Xanthium-type,NA,797,Asteraceae subtribe Ambrosiinae,Asteraceae tribe Heliantheae,Xanthium,NA,NA,NA,NA
Ximenia,NA,2556,Ximeniaceae,Santalales,skip,1,FL,NA,NA
Xylosma,NA,NA,NA,NA,skip,0,NA,NA,NA
Xyris,NA,1354,Xyridaceae,Poales,Xyris,12,SEUS,NA,NA
Yucca,NA,1503,Asparagaceae subf. Agavoideae,Asparagaceae,Yucca,10,NA,NA,NA
Zanthoxylum,NA,809,Rutaceae,Sapindales,Zanthoxylum,NA,NA,NA,NA
Zanthoxylum-type,NA,400,Rutaceae,Sapindales,Zanthoxylum,NA,NA,NA,NA
Zanthoxylum americanum,NA,1457,Zanthoxylum,Rutaceae,Zanthoxylum,NA,NA,NA,NA
Zanthoxylum fagara,NA,9825,Zanthoxylum,Rutaceae,Zanthoxylum,NA,NA,NA,NA
Zea,NA,538,Poaceae,Poales,Zea,NA,NA,NA,NA
Zea mays,NA,323,Zea,Poaceae,Zea,NA,NA,NA,NA
Zigadenus,NA,501,Melanthiaceae,Liliales,Melanthiaceae,8,Great Plains,NA,NA
Zygophyllaceae,1496,NA,NA,NA,skip,2,NA,NA,NA
