taxon_name,level_1
fagraea,fagraea
ficus,ficus
flagellaria,flagellaria
flindersia,flindersia
freycinetia,freycinetia
freycinetia_sp,freycinetia_sp
fuscospora,fuscospora
galium,galium
garcinia,garcinia
gardenia,gardenia
gaultheria_type,gaultheria_type
geitonoplesium,geitonoplesium
geniostoma,geniostoma
gentiana,gentiana
gentianaceae,gentianaceae
gentianella,gentianella
geraniaceae,geraniaceae
geranium,geranium
geranium_retrorsum_group,geranium_retrorsum_group
geum,geum
gingidia,gingidia
glochidion,glochidion
gompholobium,gompholobium
gomphrena,gomphrena
goodenia,goodenia
goodenia_velleia,goodenia_velleia
goodeniaceae,goodeniaceae
gratiola,gratiola
grevillea,grevillea
grevillea_australis,grevillea_australis
grevillea_hakea,grevillea_hakea
grevillea_type,grevillea_type
grevillea_victoriae,grevillea_victoriae
griselinia,griselinia
guioa,guioa
gunnera,gunnera
gymnoschoenus,gymnoschoenus
gymnoschoenus_sphaerocephalus,gymnoschoenus_sphaerocephalus
gymnoschoenus_type,gymnoschoenus_type
gymnostoma,gymnostoma
gynatrix,gynatrix
gyrostemon,gyrostemon
gyrostemonaceae,gyrostemonaceae
hakea,hakea
hakea_teretifolia,hakea_teretifolia
halocarpus,halocarpus
haloragis,haloragis
haloragis_micrantha,haloragis_micrantha
haloragis_sim,haloragis_sim
haloragodendron,haloragodendron
hardenbergia,hardenbergia
hebe,hebe
helichrysum_type,helichrysum_type
helicia,helicia
helicteres,helicteres
heritiera,heritiera
heritiera_type,heritiera_type
hernandia,hernandia
hernandiaceae,hernandiaceae
hibbertia,hibbertia
hiptage_comp,hiptage_comp
hoheria_angustifolia,hoheria_angustifolia
hoheria_lyallii_type,hoheria_lyallii_type
homalanthus,homalanthus
homalanthus_cf_h_stokesii,homalanthus_cf_h_stokesii
homalium,homalium
hovea,hovea
hovea_bossiaea,hovea_bossiaea
hybanthus,hybanthus
hymenanthera,hymenanthera
hypericum,hypericum
hypericum_japonicum,hypericum_japonicum
hypericum_type,hypericum_type
hypoxis,hypoxis
ilex,ilex
impatiens,impatiens
ipomoea,ipomoea
iridaceae,iridaceae
isophysis,isophysis
isotoma,isotoma
ixora,ixora
jasminum,jasminum
juglandaceae,juglandaceae
juglandaceae_cf_engelhardia,juglandaceae_cf_engelhardia
juncaceae,juncaceae
justicia_comp,justicia_comp
kleinhovia_hospita,kleinhovia_hospita
knightia,knightia
kunzea,kunzea
kunzea_leptospermum,kunzea_leptospermum
kunzea_muelleri_type,kunzea_muelleri_type
kunzea_type,kunzea_type
lagarostrobos,lagarostrobos
lagarostrobos_franklinii,lagarostrobos_franklinii
lagerstroemia_speciosa,lagerstroemia_speciosa
lamiaceae,lamiaceae
lauraceae,lauraceae
laurelia,laurelia
lecythidaceae,lecythidaceae
leea,leea
lepidosperma,lepidosperma
lepidothamnus,lepidothamnus
lepironia_comp,lepironia_comp
leptocarpus,leptocarpus
leptospermum,leptospermum
leptospermum_baeckea,leptospermum_baeckea
leptospermum_type,leptospermum_type
leucopogon,leucopogon
leucopogon_suaveolens,leucopogon_suaveolens
leucopogon_type,leucopogon_type
libocedrus,libocedrus
lilaeopsis,lilaeopsis
liliaceae,liliaceae
liliaceae_undiff,liliaceae_undiff
limnophila,limnophila
limnophila_type,limnophila_type
lindernia,lindernia
litsea,litsea
lobelia,lobelia
lomandra,lomandra
lomatia,lomatia
lonicera_comp,lonicera_comp
lonicera_type,lonicera_type
lophostemon,lophostemon
lophostemon_syncarpia_hillii,lophostemon_syncarpia_hillii
loranthaceae,loranthaceae
lotus,lotus
lotus_type,lotus_type
lumnitzera,lumnitzera
lumnitzera_type,lumnitzera_type
lythraceae,lythraceae
lythrum,lythrum
