taxa,dataset_id,BIN,summed_pollen_count
Larix,1002,21,102
Liquidambar,1002,1,1
Liquidambar,1002,2,0
Liquidambar,1002,3,0
Liquidambar,1002,11,3
Liquidambar,1002,13,2
Liquidambar,1002,14,1
Liquidambar,1002,15,1
Liquidambar,1002,16,1
Liquidambar,1002,17,1
Liquidambar,1002,18,0
Liquidambar,1002,19,0
Liquidambar,1002,20,0
Liquidambar,1002,21,1
Magnolia,1002,1,3
Magnolia,1002,2,0
Magnolia,1002,3,0
Magnolia,1002,11,0
Magnolia,1002,13,0
Magnolia,1002,14,0
Magnolia,1002,15,0
Magnolia,1002,16,0
Magnolia,1002,17,0
Magnolia,1002,18,0
Magnolia,1002,19,0
Magnolia,1002,20,0
Magnolia,1002,21,0
Myrica,1002,1,0
Myrica,1002,2,1
Myrica,1002,3,0
Myrica,1002,11,1
Myrica,1002,13,0
Myrica,1002,14,0
Myrica,1002,15,1
Myrica,1002,16,0
Myrica,1002,17,0
Myrica,1002,18,0
Myrica,1002,19,0
Myrica,1002,20,2
Myrica,1002,21,0
Nyssa,1002,1,3
Nyssa,1002,2,0
Nyssa,1002,3,0
Nyssa,1002,11,0
Nyssa,1002,13,0
Nyssa,1002,14,0
Nyssa,1002,15,0
Nyssa,1002,16,0
Nyssa,1002,17,0
Nyssa,1002,18,0
Nyssa,1002,19,0
Nyssa,1002,20,0
Nyssa,1002,21,1
Ostrya/Carpinus,1002,1,349
Ostrya/Carpinus,1002,2,240
Ostrya/Carpinus,1002,3,43
Ostrya/Carpinus,1002,11,306
Ostrya/Carpinus,1002,13,309
Ostrya/Carpinus,1002,14,244
Ostrya/Carpinus,1002,15,145
Ostrya/Carpinus,1002,16,239
Ostrya/Carpinus,1002,17,570
Ostrya/Carpinus,1002,18,1891
Ostrya/Carpinus,1002,19,856
Ostrya/Carpinus,1002,20,411
Ostrya/Carpinus,1002,21,335
Picea,1002,1,6
Picea,1002,2,377
Picea,1002,3,810
Picea,1002,11,5
Picea,1002,13,8
Picea,1002,14,4
Picea,1002,15,0
Picea,1002,16,1
Picea,1002,17,2
Picea,1002,18,11
Picea,1002,19,10
Picea,1002,20,72
Picea,1002,21,3
Pinus strobus,1002,1,233
Pinus strobus,1002,2,79
Pinus strobus,1002,3,28
Pinus strobus,1002,11,65
Pinus strobus,1002,13,71
Pinus strobus,1002,14,85
Pinus strobus,1002,15,31
Pinus strobus,1002,16,28
Pinus strobus,1002,17,100
Pinus strobus,1002,18,818
Pinus strobus,1002,19,680
Pinus strobus,1002,20,877
Pinus strobus,1002,21,80
Pinus undiff.,1002,1,573
Pinus undiff.,1002,2,1531
Pinus undiff.,1002,3,351
Pinus undiff.,1002,11,229
Pinus undiff.,1002,13,225
Pinus undiff.,1002,14,207
Pinus undiff.,1002,15,90
Pinus undiff.,1002,16,107
Pinus undiff.,1002,17,351
Pinus undiff.,1002,18,2325
Pinus undiff.,1002,19,2798
Pinus undiff.,1002,20,4267
Pinus undiff.,1002,21,238
Platanus,1002,1,83
Platanus,1002,2,12
Platanus,1002,3,0
Platanus,1002,11,68
Platanus,1002,13,94
Platanus,1002,14,73
Platanus,1002,15,130
Platanus,1002,16,100
Platanus,1002,17,129
Platanus,1002,18,226
Platanus,1002,19,90
Platanus,1002,20,46
Platanus,1002,21,71
Populus,1002,1,33
Populus,1002,2,125
Populus,1002,3,167
Populus,1002,11,14
Populus,1002,13,12
Populus,1002,14,4
Populus,1002,15,4
Populus,1002,16,1
Populus,1002,17,6
Populus,1002,18,14
Populus,1002,19,18
Populus,1002,20,109
Populus,1002,21,20
Quercus,1002,1,2096
Quercus,1002,2,494
Quercus,1002,3,171
Quercus,1002,11,1278
Quercus,1002,13,1362
Quercus,1002,14,1530
Quercus,1002,15,706
Quercus,1002,16,777
Quercus,1002,17,1257
Quercus,1002,18,4029
Quercus,1002,19,2053
Quercus,1002,20,1183
Quercus,1002,21,1289
Rosaceae,1002,1,3
Rosaceae,1002,2,3
Rosaceae,1002,3,2
Rosaceae,1002,11,4
Rosaceae,1002,13,3
Rosaceae,1002,14,1
Rosaceae,1002,15,0
Rosaceae,1002,16,0
Rosaceae,1002,17,0
Rosaceae,1002,18,2
Rosaceae,1002,19,1
Rosaceae,1002,20,2
Rosaceae,1002,21,6
Salix,1002,1,26
Salix,1002,2,35
Salix,1002,3,33
Salix,1002,11,17
Salix,1002,13,16
Salix,1002,14,24
Salix,1002,15,5
Salix,1002,16,12
Salix,1002,17,14
Salix,1002,18,21
Salix,1002,19,22
Salix,1002,20,39
Salix,1002,21,7
Sarcobatus vermiculatus,1002,1,1
Sarcobatus vermiculatus,1002,2,0
Sarcobatus vermiculatus,1002,3,0
Sarcobatus vermiculatus,1002,11,0
Sarcobatus vermiculatus,1002,13,2
Sarcobatus vermiculatus,1002,14,1
Sarcobatus vermiculatus,1002,15,0
Sarcobatus vermiculatus,1002,16,0
Sarcobatus vermiculatus,1002,17,0
Sarcobatus vermiculatus,1002,18,5
Sarcobatus vermiculatus,1002,19,2
Sarcobatus vermiculatus,1002,20,0
Sarcobatus vermiculatus,1002,21,0
Shepherdia canadensis,1002,1,1
Shepherdia canadensis,1002,2,0
Shepherdia canadensis,1002,3,1
Shepherdia canadensis,1002,11,0
Shepherdia canadensis,1002,13,1
Shepherdia canadensis,1002,14,0
Shepherdia canadensis,1002,15,0
Shepherdia canadensis,1002,16,0
Shepherdia canadensis,1002,17,0
Shepherdia canadensis,1002,18,3
Shepherdia canadensis,1002,19,5
Shepherdia canadensis,1002,20,4
Shepherdia canadensis,1002,21,0
Taxus,1002,1,0
Taxus,1002,2,3
Taxus,1002,3,0
Taxus,1002,11,2
Taxus,1002,13,2
Taxus,1002,14,6
Taxus,1002,15,4
Taxus,1002,16,4
Taxus,1002,17,1
Taxus,1002,18,12
Taxus,1002,19,12
Taxus,1002,20,6
Taxus,1002,21,0
Tilia,1002,1,32
Tilia,1002,2,0
Tilia,1002,3,1
Tilia,1002,11,100
Tilia,1002,13,114
Tilia,1002,14,93
Tilia,1002,15,86
Tilia,1002,16,83
Tilia,1002,17,63
Tilia,1002,18,271
